"","year","avg_Global_ocean_SST_anom","North_Atlantic_SST_anom"
"1",1970,-0.267436333333333,-0.608057
"2",1971,-0.311916333333333,-0.587562333333333
"3",1972,-0.257543666666667,-0.625519666666667
"4",1973,-0.266409333333333,-0.600238666666667
"5",1974,-0.304315666666667,-0.635031333333333
"6",1975,-0.317478666666667,-0.589313333333333
"7",1976,-0.307234,-0.564124
"8",1977,-0.239142,-0.534427666666667
"9",1978,-0.239514666666667,-0.484397333333333
"10",1979,-0.193292,-0.463173333333333
"11",1980,-0.193073666666667,-0.397842666666667
"12",1981,-0.186513,-0.436546333333333
"13",1982,-0.191121,-0.488742666666667
"14",1983,-0.149939666666667,-0.444641
"15",1984,-0.179841,-0.428092
"16",1985,-0.178449333333333,-0.416223333333333
"17",1986,-0.163518666666667,-0.467712
"18",1987,-0.101512,-0.337336333333333
"19",1988,-0.102103333333333,-0.346796666666667
"20",1989,-0.107439333333333,-0.325646333333333
"21",1990,-0.0809373333333333,-0.309014666666667
"22",1991,-0.090331,-0.333629666666667
"23",1992,-0.100857333333333,-0.384437
"24",1993,-0.08198,-0.390618
"25",1994,-0.0739056666666667,-0.357803666666667
"26",1995,-0.031064,-0.229470333333333
"27",1996,-0.0313726666666667,-0.185754
"28",1997,0.014641,-0.0933013333333333
"29",1998,0.0304556666666667,-0.00557766666666667
"30",1999,-0.0288873333333333,-0.017599
"31",2000,-0.0296756666666667,-0.0326846666666667
"32",2001,-0.00169633333333333,0.034816
"33",2002,0.0195366666666667,0.047662
"34",2003,0.0344883333333333,0.156971
"35",2004,0.034367,0.158521333333333
"36",2005,0.0316443333333333,0.168735
"37",2006,0.023731,0.175396666666667
"38",2007,0.00149066666666667,0.164735666666667
"39",2008,-0.000201666666666666,0.166557
"40",2009,0.0330556666666667,0.0788806666666667
"41",2010,0.03576,0.118548333333333
"42",2011,0.00498366666666667,0.011584
"43",2012,0.0228766666666667,0.078409
"44",2013,0.0299716666666667,0.0390426666666667
"45",2014,0.0679246666666667,0.0792516666666667
