"","Year","CO2_avg_annual"
"1",1970,325.68
"2",1971,326.32
"3",1972,327.45
"4",1973,329.68
"5",1974,330.18
"6",1975,331.11
"7",1976,332.04
"8",1977,333.83
"9",1978,335.4
"10",1979,336.84
"11",1980,338.75
"12",1981,340.11
"13",1982,341.45
"14",1983,343.05
"15",1984,344.65
"16",1985,346.12
"17",1986,347.42
"18",1987,349.19
"19",1988,351.57
"20",1989,353.12
"21",1990,354.39
"22",1991,355.61
"23",1992,356.45
"24",1993,357.1
"25",1994,358.83
"26",1995,360.82
"27",1996,362.61
"28",1997,363.73
"29",1998,366.7
"30",1999,368.38
"31",2000,369.55
"32",2001,371.14
"33",2002,373.28
"34",2003,375.8
"35",2004,377.52
"36",2005,379.8
"37",2006,381.9
"38",2007,383.79
"39",2008,385.6
"40",2009,387.43
"41",2010,389.9
"42",2011,391.65
"43",2012,393.85
"44",2013,396.52
"45",2014,398.65
"46",2015,400.83
"47",2016,404.24
"48",2017,406.55
"49",2018,408.52
