year ,1,2,3,4,5,6,7,8,9,10,11,12
1970,-0.017,-0.055,0.012,0.013,-0.054,-0.189,-0.207,-0.148,-0.145,-0.203,-0.247,-0.217
1971,-0.253,-0.299,-0.317,-0.42,-0.334,-0.37,-0.357,-0.442,-0.373,-0.242,-0.25,-0.315
1972,-0.325,-0.387,-0.446,-0.333,-0.476,-0.495,-0.382,-0.39,-0.31,-0.293,-0.284,-0.358
1973,-0.381,-0.4,-0.351,-0.271,-0.176,-0.182,-0.11,-0.14,-0.138,-0.222,-0.216,-0.245
1974,-0.282,-0.29,-0.408,-0.53,-0.507,-0.454,-0.521,-0.474,-0.512,-0.514,-0.432,-0.367
1975,-0.279,-0.345,-0.316,-0.352,-0.395,-0.302,-0.278,-0.192,-0.342,-0.36,-0.348,-0.328
1976,-0.391,-0.448,-0.5,-0.433,-0.495,-0.49,-0.314,-0.192,-0.2,-0.3,-0.422,-0.438
1977,-0.396,-0.34,-0.189,-0.224,-0.176,-0.114,-0.112,-0.151,-0.238,-0.23,-0.149,-0.211
1978,-0.112,-0.154,-0.165,-0.201,-0.21,-0.339,-0.283,-0.233,-0.196,-0.214,-0.126,-0.189
1979,-0.199,-0.157,-0.234,-0.243,-0.124,-0.048,-0.1,-0.121,-0.115,-0.094,-0.091,-0.065
1980,-0.007,-0.084,-0.144,-0.006,0.124,0.103,0.045,0.018,-0.013,-0.067,-0.202,-0.255
1981,-0.182,-0.181,0,-0.096,-0.085,-0.063,-0.095,-0.116,-0.037,-0.188,-0.138,-0.007
1982,-0.082,-0.079,-0.081,-0.183,-0.192,-0.185,-0.229,-0.31,-0.308,-0.372,-0.418,-0.381
1983,-0.299,-0.105,0.08,0.058,-0.049,-0.055,-0.016,-0.159,-0.216,-0.196,-0.159,-0.004
1984,-0.107,-0.089,-0.126,-0.158,-0.167,-0.325,-0.267,-0.227,-0.21,-0.345,-0.425,-0.319
1985,-0.355,-0.33,-0.357,-0.402,-0.338,-0.129,-0.154,-0.283,-0.249,-0.246,-0.296,-0.338
1986,-0.344,-0.276,-0.294,-0.326,-0.23,-0.263,-0.25,-0.274,-0.221,-0.32,-0.399,-0.373
1987,-0.279,-0.219,-0.034,0.028,0.066,0.201,0.278,0.278,0.192,0.045,-0.072,0.041
1988,-0.044,-0.118,-0.013,0.048,0.134,0.162,0.105,-0.013,-0.1,-0.176,-0.152,-0.169
1989,-0.226,-0.161,-0.258,-0.295,-0.152,0.085,0.172,0.107,-0.1,-0.129,-0.155,-0.159
1990,-0.304,-0.167,-0.184,-0.123,-0.064,-0.062,-0.028,0.047,0.141,0.107,-0.059,-0.042
1991,-0.201,-0.123,-0.075,-0.139,-0.16,-0.136,-0.114,-0.115,-0.044,-0.269,-0.268,-0.221
1992,-0.198,-0.101,-0.1,-0.191,-0.229,-0.158,-0.227,-0.388,-0.377,-0.308,-0.342,-0.292
1993,-0.248,-0.194,-0.252,-0.181,-0.172,-0.189,-0.285,-0.237,-0.173,-0.251,-0.327,-0.302
1994,-0.305,-0.317,-0.287,-0.209,-0.215,-0.23,-0.24,-0.244,-0.161,-0.068,-0.028,-0.1
1995,-0.071,-0.049,0.007,0.067,0.262,0.355,0.305,0.174,0.044,0.092,0.117,0.032
1996,-0.019,-0.042,-0.067,0,-0.075,-0.133,-0.114,-0.018,-0.011,-0.154,-0.183,-0.165
1997,-0.101,-0.045,-0.005,-0.002,0.03,-0.001,0.051,0.005,0.099,0.14,0.041,0.121
1998,0.12,0.282,0.312,0.281,0.374,0.479,0.478,0.502,0.402,0.372,0.307,0.269
1999,0.041,0.047,0.059,0.042,0.152,0.17,0.188,0.297,0.175,0.007,-0.059,0.004
2000,-0.094,-0.048,0.093,0.032,0.095,-0.028,0.062,0.093,0.091,-0.05,-0.063,-0.137
2001,-0.138,-0.037,0.004,-0.022,-0.019,0.188,0.125,0.167,0.276,0.241,0.146,0.203
2002,0.171,0.155,0.134,0.017,-0.059,-0.127,-0.076,0.096,0.069,0.101,0.009,-0.006
2003,0.04,-0.023,0.102,0.069,0.141,0.195,0.266,0.405,0.441,0.416,0.213,0.214
2004,0.2,0.199,0.147,0.098,-0.005,0.167,0.217,0.306,0.23,0.232,0.21,0.177
2005,0.1,0.115,0.274,0.281,0.283,0.316,0.436,0.429,0.408,0.227,0.129,0.206
2006,0.113,0.064,0.049,0.187,0.298,0.323,0.364,0.39,0.353,0.324,0.278,0.161
2007,0.16,0.206,0.116,0.148,0.101,0.078,0.118,0.044,0.087,0.147,0.166,0.1
2008,0.02,0.118,0.148,0.032,0.162,0.245,0.195,0.164,0.188,0.092,-0.01,0.008
2009,-0.07,-0.175,-0.171,-0.141,-0.072,0.111,0.217,0.142,0.046,0.153,0.058,0.072
2010,0.029,0.166,0.276,0.415,0.449,0.437,0.439,0.514,0.438,0.313,0.225,0.197
2011,0.133,0.097,0.044,0.081,0.141,0.167,0.08,0.136,0.133,0.052,-0.082,-0.056
2012,-0.076,-0.007,0.014,0.069,0.153,0.289,0.364,0.42,0.437,0.318,0.154,0.13
2013,0.117,0.104,0.147,0.125,0.09,0.035,0.179,0.183,0.243,0.335,0.117,0.025
2014,-0.073,-0.054,-0.092,-0.105,-0.013,0.051,0.21,0.323,0.298,0.28,0.053,0.047
2015,-0.02,-0.015,-0.141,-0.083,0.033,0.017,0.12,0.166,0.288,0.313,0.175,0.217
2016,0.219,0.144,0.176,0.165,0.332,0.397,0.42,0.445,0.446,0.368,0.378,0.323
2017,0.213,0.215,0.155,0.271,0.302,0.296,0.29,0.298,0.338,0.421,0.34,0.352
2018,0.161,0.05,0.12,0.051,-0.013,-0.023,0.005,0.1,0.15,0.131,-0.133,-0.072
2019,-0.027,0.068,0.109,0.111,0.076,0.161,0.34,0.326,0.233,0.146,0.098,0.152
2020,0.084,0.344,0.356,0.358,0.254,0.26,0.352,0.436,0.307,0.3,0.123,0.173
